,0
"('customer', 'service')",88
"('td', 'bank')",51
"('credit', 'card')",30
"('worst', 'bank')",23
"('canada', 'trust')",13
"('close', 'account')",13
"('bank', 'td')",13
"('bank', 'account')",12
"('bank', 'ever')",11
"('td', 'canada')",11
"('dont', 'know')",9
"('horrible', 'customer')",9
"('go', 'branch')",9
"('wait', 'time')",9
"('worst', 'customer')",9
"('closing', 'account')",8
"('bank', 'worst')",8
"('even', 'though')",8
"('money', 'account')",8
"('td', 'year')",8
"('phone', 'call')",8
"('hold', 'hour')",8
"('account', 'td')",7
"('go', 'bank')",7
"('answer', 'question')",7
"('month', 'later')",7
"('zero', 'star')",7
"('line', 'credit')",7
"('could', 'give')",7
"('call', 'customer')",7
